Bulan;Kebun;Afdeling;Kode Afd;Luas;Pokok;Jjg Akt.;Kg Akt.;Jjg Bgt.;Kg Bgt.;BJR Akt.;BJR Bgt.;Ton/ha Akt.;Ton/ha Bgt.;% Cap.;Gap Ton/Ha;Gap %
JAN;BKB Inti;Afdeling 1;AFD.1;1451,00;190109;87219;1500690;133954;2194615;17,21;16,38;1,03;1,51;68,38;-0,48;31,62
JAN;BKB Inti;Afdeling 2;AFD.2;1496,00;195774;98538;1631260;143788;2405069;16,55;16,73;1,09;1,61;67,83;-0,52;32,17
JAN;SC Inti;SC Inti;AFD6;393,60;51701;25985;356420;55446;726585;13,72;13,10;0,91;1,85;49,05;-0,94;50,95
JAN;Setarap;Setarap;AFD-8;388,20;51154;38557;523930;51792;716617;13,59;13,84;1,35;1,85;73,11;-0,50;26,89
JAN;SC Plasma;SC Plasma;AFD-7;196,30;26164;13410;188860;29096;362370;14,08;12,45;0,96;1,85;52,12;-0,88;47,88
JAN;BKB Plasma;SK1;SK1;187,50;24615;9922;137490;11358;186375;13,86;16,41;0,73;0,99;73,77;-0,26;26,23
JAN;BKB Plasma;SK2;SK2;158,00;20822;8962;165470;8236;160754;18,46;19,52;1,05;1,02;102,93;0,03;-2,93
JAN;BKB Plasma;SKA;SKA;233,00;30330;11648;201040;13766;253152;17,26;18,39;0,86;1,09;79,41;-0,22;20,59
JAN;BKB Plasma;SKB;SKB;321,00;43821;31068;423230;27984;364657;13,62;13,03;1,32;1,14;116,06;0,18;-16,06
JAN;BKB Plasma;SKC;SKC;55,00;7285;3382;55280;3284;62480;16,35;19,03;1,01;1,14;88,48;-0,13;11,52
JAN;BKB Plasma;SBB;SBB;1158,50;156587;61124;873190;77570;1183122;14,29;15,25;0,75;1,02;73,80;-0,27;26,20
JAN;BKB Plasma;SMM;SMM;982,75;130420;42901;527430;69070;983336;12,29;14,24;0,54;1,00;53,64;-0,46;46,36
JAN;BKB Plasma;TGS;TGS;416,00;54374;24395;286060;32652;428252;11,73;13,12;0,69;1,03;66,80;-0,34;33,20
JAN;BKB Plasma;WRJ;WRJ;1051,40;140849;50685;593180;85744;1079949;11,70;12,60;0,56;1,03;54,93;-0,46;45,07
JAN;BKB Plasma 1;MTL;MTL;799,68;106447;42428;753830;49190;851659;17,77;17,31;0,94;1,07;88,51;-0,12;11,49
JAN;BKB Plasma 1;SBU;SBU;29,10;4020;702;10640;2196;35124;15,16;15,99;0,37;1,21;30,29;-0,84;69,71
JAN;BKB Plasma 1;TNB;TNB;111,43;14327;5301;94578;7730;134496;17,84;17,40;0,85;1,21;70,32;-0,36;29,68
JAN;BKB Plasma 1;SBH;SBH;495,52;66248;26166;502882;30422;531966;19,22;17,49;1,01;1,07;94,53;-0,06;5,47
JAN;FFD Inti;Rayon 1;RAY-1;1677,81;218379;90961;1287070;202770;2966125;14,15;14,63;0,77;1,77;43,39;-1,00;56,61
JAN;FFD Inti;Rayon 2;RAY-2;1742,55;230645;73669;1095570;199825;3009948;14,87;15,06;0,63;1,73;36,40;-1,10;63,60
JAN;FFD Plasma;BB1;BB1;612,27;80089;39262;645820;74370;1117975;16,45;15,03;1,05;1,83;57,77;-0,77;42,23
JAN;FFD Plasma;BB2A;BB2-A;39,80;5361;2165;35030;5145;72676;16,18;14,13;0,88;1,83;48,20;-0,95;51,80
JAN;FFD Plasma;BB2B;BB2-B;442,00;59052;24493;363280;57248;811167;14,83;14,17;0,82;1,84;44,78;-1,01;55,22
JAN;FFD Plasma;BB3;BB3;14,00;1971;609;11530;1402;24850;18,93;17,72;0,82;1,77;46,40;-0,95;53,60
JAN;FFD Plasma;BB4;BB4;324,10;43877;21358;337650;41533;598289;15,81;14,41;1,04;1,85;56,44;-0,80;43,56
JAN;FFD Plasma;BB5;BB5;145,15;19235;14255;200560;20965;267947;14,07;12,78;1,38;1,85;74,85;-0,46;25,15
