Bulan;PT;Kebun;Afdeling;Kode Afd;Luas;Pokok;Jjg Akt.;Kg Akt.;Jjg Sns.;Kg Sns.;BJR Akt.;BJR Sns.;Ton/ha Akt.;Ton/ha Sns.;% Cap.;Gap Ton/Ha;Gap %
JAN;BKB;BKB Inti;Afdeling 1;AFD.1;1451;190109;87219;1500690;114027;1860220;17,21;16,31;1,03;1,28;80,67;-0,25;19,33
JAN;BKB;BKB Inti;Afdeling 2;AFD.2;1496;195774;98538;1631260;129940;2061742;16,55;15,87;1,09;1,38;79,12;-0,29;20,88
JAN;BKB;SC Inti;SC Inti;AFD6;393,6;51701;25985;356420;32116;426066;13,72;13,27;0,91;1,08;83,65;-0,18;16,35
JAN;BKB;Setarap;Setarap;AFD-8;388,2;51154;38557;523930;58407;785205;13,59;13,44;1,35;2,02;66,73;-0,67;33,27
JAN;BKB;SC Plasma;SC Plasma;AFD-7;196,3;26164;13410;188860;23058;313906;14,08;13,61;0,96;1,6;60,16;-0,64;39,84
JAN;BKB;BKB Plasma;SK1;SK1;187,5;24615;9922;137490;10357;142193;13,86;13,73;0,73;0,76;96,69;-0,03;3,31
JAN;BKB;BKB Plasma;SK2;SK2;158;20822;8962;165470;10398;181773;18,46;17,48;1,05;1,15;91,03;-0,1;8,97
JAN;BKB;BKB Plasma;SKA;SKA;233;30330;11648;201040;18811;311796;17,26;16,58;0,86;1,34;64,48;-0,48;35,52
JAN;BKB;BKB Plasma;SKB;SKB;321;43821;31068;423230;38881;525011;13,62;13,5;1,32;1,64;80,61;-0,32;19,39
JAN;BKB;BKB Plasma;SKC;SKC;55;7285;3382;55280;2896;46513;16,35;16,06;1,01;0,85;118,85;0,16;-18,85
JAN;BKB;BKB Plasma;SBB;SBB;1158,5;156587;61124;873190;52796;723210;14,29;13,7;0,75;0,62;120,74;0,13;-20,74
JAN;BKB;BKB Plasma;SMM;SMM;982,75;130420;42901;527430;57244;700077;12,29;12,23;0,54;0,71;75,34;-0,18;24,66
JAN;BKB;BKB Plasma;TGS;TGS;416;54374;24395;286060;24677;285482;11,73;11,57;0,69;0,69;100,2;0;-0,2
JAN;BKB;BKB Plasma;WRJ;WRJ;1051,4;140849;50685;593180;57786;646963;11,7;11,2;0,56;0,62;91,69;-0,05;8,31
