Tahun;Bulan;Kebun;Curah_Hujan;Hari_Hujan
2022;JAN;BKB INTI;207,8;10
2022;FEB;BKB INTI;216,15;9,5
2022;MAR;BKB INTI;192,5;11,5
2022;APR;BKB INTI;244,19;6,5
2022;MEI;BKB INTI;241,28;12,5
2022;JUN;BKB INTI;217,7;14,5
2022;JUL;BKB INTI;447;15,5
2022;AGT;BKB INTI;346,54;12
2022;SEP;BKB INTI;507,07;12,5
2022;OKT;BKB INTI;185,74;10,5
2022;NOV;BKB INTI;285,23;11,5
2022;DES;BKB INTI;206,81;11,5
2023;JAN;BKB INTI;127,18;7
2023;FEB;BKB INTI;257,95;12,5
2023;MAR;BKB INTI;422,13;14,5
2023;APR;BKB INTI;231,25;8
2023;MEI;BKB INTI;79,2;5,5
2023;JUN;BKB INTI;355,66;8
2023;JUL;BKB INTI;362,07;9,5
2023;AGT;BKB INTI;6,84;1
2023;SEP;BKB INTI;88,51;4
2023;OKT;BKB INTI;51,57;2,5
2023;NOV;BKB INTI;229,58;9,5
2023;DES;BKB INTI;201,01;8
2024;JAN;BKB INTI;420,69;12,5
2024;FEB;BKB INTI;431,79;15,5
2024;MAR;BKB INTI;280,46;9,5
2024;APR;BKB INTI;327,16;10,5
2024;MEI;BKB INTI;458,12;12
2024;JUN;BKB INTI;888,22;18
2024;JUL;BKB INTI;175,65;9,5
2024;AGT;BKB INTI;356,52;7
2024;SEP;BKB INTI;260,39;3,5
2024;OKT;BKB INTI;174,02;5
2024;NOV;BKB INTI;277,75;14
2024;DES;BKB INTI;296,33;16,5
2025;JAN;BKB INTI;361,15;17
2025;FEB;BKB INTI;193,39;8
2025;MAR;BKB INTI;226,5;14,5
2025;APR;BKB INTI;274,4;12
2025;MEI;BKB INTI;297,89;13,5
2025;JUN;BKB INTI;216,52;11
2025;JUL;BKB INTI;293,72;11
2025;AGT;BKB INTI;576,72;17,5
2025;SEP;BKB INTI;316,44;13
2025;OKT;BKB INTI;298,27;14,5
2025;NOV;BKB INTI;183,47;10,5
2025;DES;BKB INTI;247,62;16,5
2022;JAN;BKB PLASMA 1;147,8;11,5
2022;FEB;BKB PLASMA 1;216,95;14,5
2022;MAR;BKB PLASMA 1;141,44;14,5
2022;APR;BKB PLASMA 1;203;11,5
2022;MEI;BKB PLASMA 1;182,65;10
2022;JUN;BKB PLASMA 1;396,54;20,5
2022;JUL;BKB PLASMA 1;471,03;19
2022;AGT;BKB PLASMA 1;402,75;13
2022;SEP;BKB PLASMA 1;627,1;15,5
2022;OKT;BKB PLASMA 1;248,1;13,5
2022;NOV;BKB PLASMA 1;377,8;17,5
2022;DES;BKB PLASMA 1;287,85;15,5
2023;JAN;BKB PLASMA 1;212,9;13,5
2023;FEB;BKB PLASMA 1;302,35;15,5
2023;MAR;BKB PLASMA 1;253,3;17,5
2023;APR;BKB PLASMA 1;189,15;11,5
2023;MEI;BKB PLASMA 1;107,05;9,5
2023;JUN;BKB PLASMA 1;434;12,5
2023;JUL;BKB PLASMA 1;350,8;13,5
2023;AGT;BKB PLASMA 1;0,25;0,5
2023;SEP;BKB PLASMA 1;49,13;4
2023;OKT;BKB PLASMA 1;44,75;3
2023;NOV;BKB PLASMA 1;307,3;15,5
2023;DES;BKB PLASMA 1;208,9;11,5
2024;JAN;BKB PLASMA 1;436;15
2024;FEB;BKB PLASMA 1;343,3;12,5
2024;MAR;BKB PLASMA 1;329,5;11,5
2024;APR;BKB PLASMA 1;327,8;13
2024;MEI;BKB PLASMA 1;719,7;16,5
2024;JUN;BKB PLASMA 1;521,55;17
2024;JUL;BKB PLASMA 1;268,3;9
2024;AGT;BKB PLASMA 1;318,75;6
2024;SEP;BKB PLASMA 1;325,15;7
2024;OKT;BKB PLASMA 1;284,38;9
2024;NOV;BKB PLASMA 1;288,35;17
2024;DES;BKB PLASMA 1;366,8;15
2025;JAN;BKB PLASMA 1;839,65;21
2025;FEB;BKB PLASMA 1;249,65;10
2025;MAR;BKB PLASMA 1;396,55;13
2025;APR;BKB PLASMA 1;327,7;12
2025;MEI;BKB PLASMA 1;240,35;12
2025;JUN;BKB PLASMA 1;376,8;15,5
2025;JUL;BKB PLASMA 1;324,55;13
2025;AGT;BKB PLASMA 1;324,05;17,5
2025;SEP;BKB PLASMA 1;205,6;13
2025;OKT;BKB PLASMA 1;438,75;14
2025;NOV;BKB PLASMA 1;68,6;6
2025;DES;BKB PLASMA 1;210;6
2022;JAN;BKB PLASMA;172;8,33
2022;FEB;BKB PLASMA;241,08;11,33
2022;MAR;BKB PLASMA;156,42;10,67
2022;APR;BKB PLASMA;146,25;5,5
2022;MEI;BKB PLASMA;142,5;8,17
2022;JUN;BKB PLASMA;371,67;15,83
2022;JUL;BKB PLASMA;517,83;14,33
2022;AGT;BKB PLASMA;485,5;10,67
2022;SEP;BKB PLASMA;595,25;11
2022;OKT;BKB PLASMA;188,47;9,67
2022;NOV;BKB PLASMA;238,78;12
2022;DES;BKB PLASMA;209,75;10,17
2023;JAN;BKB PLASMA;113,67;7,33
2023;FEB;BKB PLASMA;145,83;13,17
2023;MAR;BKB PLASMA;163,05;9,83
2023;APR;BKB PLASMA;210,67;10
2023;MEI;BKB PLASMA;59,08;4
2023;JUN;BKB PLASMA;350,13;9,67
2023;JUL;BKB PLASMA;228;7,83
2023;AGT;BKB PLASMA;6,17;0,33
2023;SEP;BKB PLASMA;82,37;1,83
2023;OKT;BKB PLASMA;42,08;2,5
2023;NOV;BKB PLASMA;188,33;8
2023;DES;BKB PLASMA;171,25;8
2024;JAN;BKB PLASMA;373,05;9,83
2024;FEB;BKB PLASMA;425,72;12,67
2024;MAR;BKB PLASMA;228,07;9,17
2024;APR;BKB PLASMA;246,17;10,33
2024;MEI;BKB PLASMA;384,5;12,83
2024;JUN;BKB PLASMA;635,17;16
2024;JUL;BKB PLASMA;250,42;8,5
2024;AGT;BKB PLASMA;198;6
2024;SEP;BKB PLASMA;173,33;4,67
2024;OKT;BKB PLASMA;156,17;7,33
2024;NOV;BKB PLASMA;274,67;11,83
2024;DES;BKB PLASMA;169,75;12,17
2025;JAN;BKB PLASMA;276,58;15,5
2025;FEB;BKB PLASMA;194,08;7,33
2025;MAR;BKB PLASMA;336,92;12,5
2025;APR;BKB PLASMA;175,23;11,17
2025;MEI;BKB PLASMA;174,42;9,83
2025;JUN;BKB PLASMA;226,25;13
2025;JUL;BKB PLASMA;204,67;8,67
2025;AGT;BKB PLASMA;421,58;15
2025;SEP;BKB PLASMA;185,55;9
2025;OKT;BKB PLASMA;247,33;10,67
2025;NOV;BKB PLASMA;106,17;7,83
2025;DES;BKB PLASMA;231;13,17
2022;JAN;FFD INTI;254,17;11
2022;FEB;FFD INTI;206,65;16,5
2022;MAR;FFD INTI;106,53;11
2022;APR;FFD INTI;300,95;13
2022;MEI;FFD INTI;199,09;10
2022;JUN;FFD INTI;404,64;18,5
