TAHUN;BULAN;KEBUN;LUAS;POKOK;AKT_KG;AKT_JJG;BJR_AKT
2022;JAN;BKB INTI;3145,5;411561;3320060;171323;19,38
2022;FEB;BKB INTI;3145,5;411561;2626000;133674;19,64
2022;MAR;BKB INTI;3145,5;411561;3995360;196048;20,38
2022;APR;BKB INTI;3145,5;411561;5449300;277535;19,63
2022;MEI;BKB INTI;3145,5;411561;7695610;385034;19,99
2022;JUN;BKB INTI;3145,5;411561;6951620;344837;20,16
2022;JUL;BKB INTI;3145,5;411561;8760150;479420;18,27
2022;AGT;BKB INTI;3145,5;411561;8524160;490995;17,36
2022;SEP;BKB INTI;3145,5;411561;6355240;361547;17,58
2022;OKT;BKB INTI;3145,5;411561;6055850;376129;16,10
2022;NOV;BKB INTI;3145,5;411561;5944930;373693;15,91
2022;DES;BKB INTI;3145,5;411561;5540610;350201;15,82
2023;JAN;BKB INTI;3113,5;407611;4225040;263488;16,04
2023;FEB;BKB INTI;3113,5;407611;2953460;182181;16,21
2023;MAR;BKB INTI;3113,5;407611;3637650;213508;17,04
2023;APR;BKB INTI;3113,5;407611;4779120;276639;17,28
2023;MEI;BKB INTI;3113,5;407611;6990340;397807;17,57
2023;JUN;BKB INTI;3113,5;407611;7694120;419617;18,34
2023;JUL;BKB INTI;3113,5;407611;6941800;389947;17,80
2023;AGT;BKB INTI;3113,5;407611;5804490;344933;16,83
2023;SEP;BKB INTI;3113,5;407611;4671590;287265;16,26
2023;OKT;BKB INTI;3113,5;407611;4607990;286285;16,10
2023;NOV;BKB INTI;3113,5;407611;4898790;297738;16,45
2023;DES;BKB INTI;3113,5;407611;3976900;241721;16,45
2024;JAN;BKB INTI;3139,98;409553;5102240;287266;17,76
2024;FEB;BKB INTI;3139,98;409553;4295070;237807;18,06
2024;MAR;BKB INTI;3139,98;409553;4296450;243425;17,65
2024;APR;BKB INTI;3139,98;409553;6168520;357054;17,28
2024;MEI;BKB INTI;3139,98;409553;6347420;384238;16,52
2024;JUN;BKB INTI;3139,98;409553;5855530;350014;16,73
2024;JUL;BKB INTI;3139,98;409553;4196970;253395;16,56
2024;AGT;BKB INTI;3139,98;409553;4048220;271897;14,89
2024;SEP;BKB INTI;3139,98;409553;4193320;289614;14,48
2024;OKT;BKB INTI;3139,98;409553;5693020;389537;14,61
2024;NOV;BKB INTI;3139,98;409553;5588900;372538;15,00
2024;DES;BKB INTI;3139,98;409553;5493690;346274;15,87
2025;JAN;BKB INTI;3139,68;409310;6067610;357438;16,98
2025;FEB;BKB INTI;3139,68;409310;5513120;326123;16,91
2025;MAR;BKB INTI;3139,68;409310;5344230;310156;17,23
2025;APR;BKB INTI;3139,68;409310;7130390;403506;17,67
2025;MEI;BKB INTI;3139,68;409310;6556650;384993;17,03
2025;JUN;BKB INTI;3139,68;409310;6066570;354624;17,11
2025;JUL;BKB INTI;3139,68;409310;5322050;320681;16,60
2025;AGT;BKB INTI;3139,68;409310;4914080;310089;15,85
2025;SEP;BKB INTI;3139,68;409310;4745660;312737;15,17
2025;OKT;BKB INTI;3139,68;409310;5289240;340110;15,55
2025;NOV;BKB INTI;3139,68;409310;5191400;330177;15,72
2025;DES;BKB INTI;3139,68;409310;4240930;259795;16,32
